Age Group (years),Year,IPD Serotype,Frequency Count
2-4,2011,15B,2
2-4,2011,15C,3
2-4,2011,17F,2
2-4,2011,19A,22
2-4,2011,19F,1
2-4,2011,22F,7
2-4,2011,23A,4
2-4,2011,23B,2
2-4,2011,3,7
2-4,2011,31,1
2-4,2011,33F,6
2-4,2011,34,1
2-4,2011,35B,4
2-4,2011,35F,2
2-4,2011,38,4
2-4,2011,6C,3
2-4,2011,7F,10
2-4,2011,9N,1
2-4,2011,MISS,15
2-4,2011,NT,1
5-17,2011,10A,1
5-17,2011,12F,5
5-17,2011,15A,2
5-17,2011,15C,3
5-17,2011,16F,2
5-17,2011,19A,21
5-17,2011,19F,2
5-17,2011,20,1
5-17,2011,21,2
5-17,2011,22F,6
5-17,2011,23A,1
5-17,2011,23B,7
5-17,2011,3,5
5-17,2011,33F,2
5-17,2011,34,2
5-17,2011,35B,3
5-17,2011,37,1
5-17,2011,6C,4
5-17,2011,7F,23
5-17,2011,8,3
5-17,2011,MISS,6
18-49,2011,1,4
18-49,2011,10A,12
18-49,2011,11A,18
18-49,2011,12F,37
18-49,2011,13,2
18-49,2011,14,1
18-49,2011,15A,21
18-49,2011,15B,11
18-49,2011,15C,6
18-49,2011,16F,11
18-49,2011,17F,13
18-49,2011,18A,1
18-49,2011,19A,111
18-49,2011,19F,7
18-49,2011,20,12
18-49,2011,21,3
18-49,2011,22F,64
18-49,2011,23A,22
18-49,2011,23B,5
18-49,2011,23F,1
18-49,2011,24F,2
18-49,2011,28A,1
18-49,2011,3,39
18-49,2011,31,7
18-49,2011,33F,11
18-49,2011,34,8
18-49,2011,35A,1
18-49,2011,35B,18
18-49,2011,35F,7
18-49,2011,38,3
18-49,2011,4,6
18-49,2011,6A,1
18-49,2011,6B,1
18-49,2011,6C,28
18-49,2011,6D,1
18-49,2011,7C,5
18-49,2011,7F,139
18-49,2011,8,34
18-49,2011,9N,31
18-49,2011,9V,6
18-49,2011,MISS,71
18-49,2011,NT,8
50-64,2011,1,2
50-64,2011,10A,11
50-64,2011,10F,1
50-64,2011,11A,34
50-64,2011,12F,44
50-64,2011,13,3
50-64,2011,14,3
50-64,2011,15A,26
50-64,2011,15B,14
50-64,2011,15C,14
50-64,2011,16F,32
50-64,2011,17F,13
50-64,2011,18A,1
50-64,2011,19A,131
50-64,2011,19F,7
50-64,2011,20,15
50-64,2011,21,2
50-64,2011,22F,71
50-64,2011,23A,42
50-64,2011,23B,14
50-64,2011,23F,3
50-64,2011,28A,1
50-64,2011,3,98
50-64,2011,31,21
50-64,2011,33F,42
50-64,2011,34,10
50-64,2011,35B,22
50-64,2011,35F,5
50-64,2011,37,1
50-64,2011,38,10
50-64,2011,4,18
50-64,2011,6A,2
50-64,2011,6C,42
50-64,2011,6D,1
50-64,2011,7C,11
50-64,2011,7F,143
50-64,2011,8,32
50-64,2011,9N,42
50-64,2011,9V,2
50-64,2011,MISS,98
50-64,2011,NT,6
65+,2011,1,4
65+,2011,10A,12
65+,2011,11A,44
65+,2011,12F,20
65+,2011,13,1
65+,2011,14,1
65+,2011,15A,43
65+,2011,15B,23
65+,2011,15C,5
65+,2011,16F,47
65+,2011,17F,20
65+,2011,18A,1
65+,2011,18C,2
65+,2011,19A,130
65+,2011,19F,6
65+,2011,20,18
65+,2011,21,2
65+,2011,22F,140
65+,2011,23A,50
65+,2011,23B,22
65+,2011,23F,2
65+,2011,24F,1
65+,2011,3,129
65+,2011,31,23
65+,2011,33F,39
65+,2011,34,17
65+,2011,35B,35
65+,2011,35F,17
65+,2011,37,1
65+,2011,38,17
65+,2011,4,3
65+,2011,6A,4
65+,2011,6B,2
65+,2011,6C,113
65+,2011,7C,18
65+,2011,7F,78
65+,2011,8,26
65+,2011,9N,32
65+,2011,9V,3
65+,2011,MISS,116
65+,2011,NT,8
<2,2012,10A,3
<2,2012,11A,5
<2,2012,12F,6
<2,2012,15A,5
<2,2012,15B,6
<2,2012,15C,5
<2,2012,18C,1
<2,2012,19A,9
<2,2012,19F,1
<2,2012,21,2
<2,2012,22F,12
<2,2012,23A,3
<2,2012,23B,2
<2,2012,3,3
<2,2012,31,2
<2,2012,33F,13
<2,2012,34,1
<2,2012,35B,11
<2,2012,35F,1
<2,2012,38,6
<2,2012,4,1
<2,2012,6C,4
<2,2012,7C,1
<2,2012,7F,1
<2,2012,8,2
<2,2012,9N,1
<2,2012,MISS,13
<2,2012,NT,1
2-4,2012,10A,5
2-4,2012,11A,1
2-4,2012,12F,2
2-4,2012,15A,1
2-4,2012,15B,7
2-4,2012,15C,7
2-4,2012,16F,1
2-4,2012,19A,11
2-4,2012,19F,2
2-4,2012,21,1
2-4,2012,22F,10
2-4,2012,23A,2
2-4,2012,23B,6
2-4,2012,3,2
2-4,2012,33F,1
2-4,2012,35B,2
2-4,2012,38,5
2-4,2012,6C,1
2-4,2012,7F,2
2-4,2012,8,2
2-4,2012,9N,1
2-4,2012,MISS,3
5-17,2012,1,1
5-17,2012,11A,1
5-17,2012,12F,5
5-17,2012,15A,3
5-17,2012,15B,3
5-17,2012,15C,2
5-17,2012,16F,2
5-17,2012,17F,3
5-17,2012,19A,12
5-17,2012,19F,5
5-17,2012,20,1
5-17,2012,21,1
5-17,2012,22F,6
5-17,2012,23A,3
5-17,2012,23B,5
5-17,2012,3,3
5-17,2012,33F,3
5-17,2012,34,1
5-17,2012,35B,2
5-17,2012,6A,1
5-17,2012,6C,9
5-17,2012,7F,16
5-17,2012,8,4
5-17,2012,9N,3
5-17,2012,MISS,3
18-49,2012,1,4
18-49,2012,10A,11
18-49,2012,11A,29
18-49,2012,12F,31
18-49,2012,13,4
18-49,2012,14,2
18-49,2012,15A,18
18-49,2012,15B,10
18-49,2012,15C,8
18-49,2012,16F,23
18-49,2012,17F,9
18-49,2012,18A,1
18-49,2012,18C,1
18-49,2012,19A,51
18-49,2012,19F,7
18-49,2012,20,5
18-49,2012,22F,70
18-49,2012,23A,22
18-49,2012,23B,13
18-49,2012,24F,1
18-49,2012,28A,2
18-49,2012,3,45
18-49,2012,31,9
18-49,2012,33F,38
18-49,2012,34,5
18-49,2012,35A,1
18-49,2012,35B,20
18-49,2012,35F,4
18-49,2012,37,1
18-49,2012,38,4
18-49,2012,4,8
18-49,2012,6A,3
18-49,2012,6B,1
18-49,2012,6C,17
18-49,2012,7A,1
18-49,2012,7C,12
18-49,2012,7F,61
18-49,2012,8,24
18-49,2012,9L,1
18-49,2012,9N,19
18-49,2012,9V,1
18-49,2012,MISS,63
18-49,2012,NT,3
50-64,2012,1,2
50-64,2012,10A,9
50-64,2012,11A,30
50-64,2012,11B,1
50-64,2012,12F,42
50-64,2012,13,3
50-64,2012,14,1
50-64,2012,15A,25
50-64,2012,15B,12
50-64,2012,15C,18
50-64,2012,16F,27
50-64,2012,17F,9
50-64,2012,18C,1
50-64,2012,19A,79
50-64,2012,19F,13
50-64,2012,20,16
50-64,2012,21,2
50-64,2012,22F,109
50-64,2012,23A,24
50-64,2012,23B,17
50-64,2012,3,91
50-64,2012,31,20
50-64,2012,33F,34
50-64,2012,34,7
50-64,2012,35B,28
50-64,2012,35F,10
50-64,2012,38,7
50-64,2012,4,8
50-64,2012,5,1
50-64,2012,6A,1
50-64,2012,6C,47
50-64,2012,7C,7
50-64,2012,7F,60
50-64,2012,8,35
50-64,2012,9N,58
50-64,2012,9V,4
50-64,2012,MISS,73
50-64,2012,NT,7
65+,2012,10A,8
65+,2012,11A,38
65+,2012,12F,17
65+,2012,13,4
65+,2012,14,2
65+,2012,15A,33
65+,2012,15B,23
65+,2012,15C,8
65+,2012,16F,43
65+,2012,17F,15
65+,2012,19A,83
65+,2012,19F,12
65+,2012,20,16
65+,2012,21,2
65+,2012,22F,127
65+,2012,23A,51
65+,2012,23B,15
65+,2012,23F,4
65+,2012,24F,3
65+,2012,28A,2
65+,2012,3,125
65+,2012,31,27
65+,2012,33F,27
65+,2012,34,15
65+,2012,35B,52
65+,2012,35F,15
65+,2012,37,3
65+,2012,38,33
65+,2012,4,3
65+,2012,6A,7
65+,2012,6B,3
65+,2012,6C,81
65+,2012,7C,13
65+,2012,7F,54
65+,2012,8,24
65+,2012,9N,35
65+,2012,9V,3
65+,2012,MISS,98
65+,2012,NT,5
<2,2013,10A,2
<2,2013,11A,1
<2,2013,12F,2
<2,2013,15A,1
<2,2013,15B,9
<2,2013,15C,6
<2,2013,16F,1
<2,2013,17F,1
<2,2013,19A,4
<2,2013,19F,2
<2,2013,21,5
<2,2013,22F,12
<2,2013,23A,1
<2,2013,23B,3
<2,2013,28A,1
<2,2013,3,4
<2,2013,31,1
<2,2013,33F,21
<2,2013,34,1
<2,2013,35B,10
<2,2013,35F,2
<2,2013,38,10
<2,2013,7C,1
<2,2013,7F,1
<2,2013,8,2
<2,2013,MISS,13
2-4,2013,10A,2
2-4,2013,11A,1
2-4,2013,11B,1
2-4,2013,12F,4
2-4,2013,15A,2
2-4,2013,15B,6
2-4,2013,15C,8
2-4,2013,16F,1
2-4,2013,17F,2
2-4,2013,19A,10
2-4,2013,22F,8
2-4,2013,23A,3
2-4,2013,23B,4
2-4,2013,3,6
2-4,2013,33F,4
2-4,2013,34,2
2-4,2013,35B,5
2-4,2013,35F,2
2-4,2013,38,2
2-4,2013,4,1
2-4,2013,7F,1
2-4,2013,8,1
2-4,2013,MISS,10
5-17,2013,1,1
5-17,2013,10A,1
5-17,2013,11A,2
5-17,2013,12F,4
5-17,2013,13,1
5-17,2013,14,1
5-17,2013,15A,1
5-17,2013,15B,3
5-17,2013,15C,1
5-17,2013,16F,1
5-17,2013,19A,5
5-17,2013,19F,5
5-17,2013,20,3
5-17,2013,21,1
5-17,2013,22F,6
5-17,2013,23A,2
5-17,2013,23B,5
5-17,2013,3,4
5-17,2013,33F,3
5-17,2013,34,4
5-17,2013,35B,4
5-17,2013,35F,1
5-17,2013,37,1
5-17,2013,6C,5
5-17,2013,7C,1
5-17,2013,7F,10
5-17,2013,8,1
5-17,2013,9N,2
5-17,2013,MISS,10
5-17,2013,NT,1
18-49,2013,1,1
18-49,2013,10A,16
18-49,2013,11A,30
18-49,2013,12F,44
18-49,2013,15A,25
18-49,2013,15B,12
18-49,2013,15C,5
18-49,2013,16F,18
18-49,2013,17F,8
18-49,2013,19A,48
18-49,2013,19F,10
18-49,2013,20,13
18-49,2013,22F,77
18-49,2013,23A,22
18-49,2013,23B,16
18-49,2013,23F,1
18-49,2013,28A,1
18-49,2013,3,53
18-49,2013,31,12
18-49,2013,33F,26
18-49,2013,34,5
18-49,2013,35B,24
18-49,2013,35F,4
18-49,2013,37,1
18-49,2013,38,4
18-49,2013,4,17
18-49,2013,5,3
18-49,2013,6B,1
18-49,2013,6C,19
18-49,2013,7C,8
18-49,2013,7F,44
18-49,2013,8,46
18-49,2013,9N,31
18-49,2013,9V,1
18-49,2013,MISS,53
18-49,2013,NT,1
50-64,2013,1,1
50-64,2013,10A,19
50-64,2013,11A,30
50-64,2013,12F,61
50-64,2013,13,4
50-64,2013,14,1
50-64,2013,15A,35
50-64,2013,15B,13
50-64,2013,15C,13
50-64,2013,16F,42
50-64,2013,17F,15
50-64,2013,18C,1
50-64,2013,19A,65
50-64,2013,19F,8
50-64,2013,20,28
50-64,2013,21,3
50-64,2013,22F,97
50-64,2013,23A,45
50-64,2013,23B,22
50-64,2013,23F,1
50-64,2013,28A,3
50-64,2013,3,91
50-64,2013,31,19
50-64,2013,33F,42
50-64,2013,34,14
50-64,2013,35B,34
50-64,2013,35F,14
50-64,2013,38,5
50-64,2013,4,13
50-64,2013,6A,1
50-64,2013,6B,1
50-64,2013,6C,41
50-64,2013,7C,11
50-64,2013,7F,52
50-64,2013,8,48
50-64,2013,9N,58
50-64,2013,9V,3
50-64,2013,MISS,91
50-64,2013,NT,3
65+,2013,1,1
65+,2013,10A,24
65+,2013,10F,2
65+,2013,11A,50
65+,2013,12F,36
65+,2013,13,6
65+,2013,15A,35
65+,2013,15B,22
65+,2013,15C,15
65+,2013,16F,45
65+,2013,17F,15
65+,2013,18A,1
65+,2013,19A,53
65+,2013,19F,19
65+,2013,20,21
65+,2013,21,3
65+,2013,22F,144
65+,2013,23A,61
65+,2013,23B,31
65+,2013,24F,2
65+,2013,28A,2
65+,2013,3,130
65+,2013,31,29
65+,2013,33F,42
65+,2013,34,13
65+,2013,35A,1
65+,2013,35B,53
65+,2013,35F,20
65+,2013,37,1
65+,2013,38,14
65+,2013,4,3
65+,2013,6A,2
65+,2013,6B,2
65+,2013,6C,81
65+,2013,6D,1
65+,2013,7B,1
65+,2013,7C,27
65+,2013,7F,28
65+,2013,8,36
65+,2013,9N,35
65+,2013,9V,1
65+,2013,MISS,106
65+,2013,NT,1
<2,2014,10A,8
<2,2014,11A,1
<2,2014,12F,1
<2,2014,14,1
<2,2014,15A,3
<2,2014,15B,5
<2,2014,15C,5
<2,2014,16F,3
<2,2014,18C,1
<2,2014,18F,1
<2,2014,19A,7
<2,2014,19F,4
<2,2014,20,2
<2,2014,21,4
<2,2014,22F,7
<2,2014,23A,2
<2,2014,23B,6
<2,2014,3,3
<2,2014,33F,15
<2,2014,35B,9
<2,2014,38,2
<2,2014,8,1
<2,2014,9N,2
<2,2014,MISS,16
2-4,2014,10A,2
2-4,2014,11A,4
2-4,2014,12F,2
2-4,2014,15A,6
2-4,2014,15B,1
2-4,2014,15C,4
2-4,2014,16F,2
2-4,2014,19A,8
2-4,2014,19F,4
2-4,2014,22F,10
2-4,2014,23A,3
2-4,2014,23B,10
2-4,2014,3,4
2-4,2014,33F,2
2-4,2014,35B,7
2-4,2014,38,2
2-4,2014,7C,1
2-4,2014,7F,1
2-4,2014,9N,1
2-4,2014,MISS,6
5-17,2014,10A,1
5-17,2014,11A,1
5-17,2014,12F,5
5-17,2014,15A,3
5-17,2014,15B,4
5-17,2014,15C,3
5-17,2014,16F,2
5-17,2014,17F,3
5-17,2014,19A,6
5-17,2014,19F,1
5-17,2014,20,1
5-17,2014,21,2
5-17,2014,22F,6
5-17,2014,23A,4
5-17,2014,23B,5
5-17,2014,3,3
5-17,2014,33F,4
5-17,2014,34,1
5-17,2014,35B,1
5-17,2014,35F,1
5-17,2014,37,1
5-17,2014,38,2
5-17,2014,6C,2
5-17,2014,7F,1
5-17,2014,8,3
5-17,2014,9N,4
5-17,2014,MISS,6
18-49,2014,10A,10
18-49,2014,11A,18
18-49,2014,12F,47
18-49,2014,13,2
18-49,2014,15A,18
18-49,2014,15B,9
18-49,2014,15C,5
18-49,2014,16F,16
18-49,2014,17F,11
18-49,2014,18C,1
18-49,2014,18F,1
18-49,2014,19A,34
18-49,2014,19F,12
18-49,2014,20,18
18-49,2014,21,3
18-49,2014,22F,53
18-49,2014,23A,24
18-49,2014,23B,19
18-49,2014,28A,1
18-49,2014,3,42
18-49,2014,31,9
18-49,2014,33F,17
18-49,2014,34,6
18-49,2014,35B,14
18-49,2014,35F,5
18-49,2014,37,1
18-49,2014,38,4
18-49,2014,39,1
18-49,2014,4,11
18-49,2014,6C,8
18-49,2014,7C,12
18-49,2014,7F,30
18-49,2014,8,35
18-49,2014,9N,37
18-49,2014,9V,2
18-49,2014,MISS,62
18-49,2014,NT,1
50-64,2014,10A,11
50-64,2014,11A,37
50-64,2014,12F,77
50-64,2014,13,1
50-64,2014,14,1
50-64,2014,15A,30
50-64,2014,15B,12
50-64,2014,15C,6
50-64,2014,16F,32
50-64,2014,17F,13
50-64,2014,18C,1
50-64,2014,19A,49
50-64,2014,19F,12
50-64,2014,20,26
50-64,2014,21,3
50-64,2014,22F,68
50-64,2014,23A,33
50-64,2014,23B,28
50-64,2014,24F,3
50-64,2014,28A,2
50-64,2014,3,88
50-64,2014,31,18
50-64,2014,33F,24
50-64,2014,34,9
50-64,2014,35B,43
50-64,2014,35F,10
50-64,2014,38,4
50-64,2014,4,22
50-64,2014,5,1
50-64,2014,6B,5
50-64,2014,6C,41
50-64,2014,7C,16
50-64,2014,7F,25
50-64,2014,8,48
50-64,2014,9N,41
50-64,2014,9V,1
50-64,2014,MISS,78
50-64,2014,NT,1
65+,2014,10A,17
65+,2014,11A,50
65+,2014,12F,30
65+,2014,13,4
65+,2014,14,2
65+,2014,15A,52
65+,2014,15B,19
65+,2014,15C,8
65+,2014,16F,56
65+,2014,17F,8
65+,2014,19A,38
65+,2014,19F,17
65+,2014,20,20
65+,2014,21,3
65+,2014,22F,88
65+,2014,23A,56
65+,2014,23B,32
65+,2014,23F,1
65+,2014,24B,1
65+,2014,24F,4
65+,2014,28A,1
65+,2014,3,102
65+,2014,31,26
65+,2014,33F,20
65+,2014,34,12
65+,2014,35B,59
65+,2014,35F,17
65+,2014,37,1
65+,2014,38,10
65+,2014,4,4
65+,2014,6A,2
65+,2014,6B,2
65+,2014,6C,62
65+,2014,6D,2
65+,2014,7C,23
65+,2014,7F,12
65+,2014,8,30
65+,2014,9N,37
65+,2014,9V,3
65+,2014,MISS,96
65+,2014,NT,2
<2,2015,10A,6
<2,2015,11A,4
<2,2015,12F,5
<2,2015,15A,4
<2,2015,15B,3
<2,2015,15C,9
<2,2015,16F,5
<2,2015,17F,2
<2,2015,19A,7
<2,2015,19F,7
<2,2015,20,1
<2,2015,21,2
<2,2015,22F,9
<2,2015,23A,6
<2,2015,23B,8
<2,2015,3,6
<2,2015,31,1
<2,2015,33F,8
<2,2015,35B,7
<2,2015,35D,1
<2,2015,35F,1
<2,2015,38,2
<2,2015,8,1
<2,2015,9N,3
<2,2015,MISS,23
2-4,2015,10A,4
2-4,2015,12F,1
2-4,2015,15A,5
2-4,2015,15B,1
2-4,2015,15C,2
2-4,2015,16F,1
2-4,2015,19A,5
2-4,2015,19F,3
2-4,2015,22F,6
2-4,2015,23A,1
2-4,2015,23B,8
2-4,2015,3,3
2-4,2015,31,1
2-4,2015,33F,4
2-4,2015,34,1
2-4,2015,35B,1
2-4,2015,35F,3
2-4,2015,38,1
2-4,2015,7C,1
2-4,2015,8,1
2-4,2015,MISS,13
5-17,2015,10A,2
5-17,2015,11A,1
5-17,2015,12F,5
5-17,2015,15A,1
5-17,2015,15B,1
5-17,2015,15C,1
5-17,2015,17F,1
5-17,2015,19A,2
5-17,2015,19F,4
5-17,2015,20,1
5-17,2015,21,3
5-17,2015,22F,8
5-17,2015,23A,2
5-17,2015,23B,3
5-17,2015,3,5
5-17,2015,31,1
5-17,2015,33F,5
5-17,2015,35B,1
5-17,2015,35F,3
5-17,2015,4,3
5-17,2015,7C,1
5-17,2015,7F,2
5-17,2015,8,3
5-17,2015,9N,2
5-17,2015,MISS,9
18-49,2015,10A,6
18-49,2015,11A,19
18-49,2015,11B,1
18-49,2015,12F,39
18-49,2015,13,2
18-49,2015,14,1
18-49,2015,15A,19
18-49,2015,15B,11
18-49,2015,15C,3
18-49,2015,16F,23
18-49,2015,17F,12
18-49,2015,18F,1
18-49,2015,19A,27
18-49,2015,19F,18
18-49,2015,20,21
18-49,2015,21,4
18-49,2015,22F,50
18-49,2015,23A,17
18-49,2015,23B,17
18-49,2015,23F,1
18-49,2015,24F,2
18-49,2015,3,48
18-49,2015,31,7
18-49,2015,33F,21
18-49,2015,34,7
18-49,2015,35B,15
18-49,2015,35F,5
18-49,2015,37,1
18-49,2015,38,5
18-49,2015,4,12
18-49,2015,6A,1
18-49,2015,6C,17
18-49,2015,7C,9
18-49,2015,7F,19
18-49,2015,8,33
18-49,2015,9N,31
18-49,2015,9V,2
18-49,2015,MISS,65
50-64,2015,10A,21
50-64,2015,10F,1
50-64,2015,11A,26
50-64,2015,11B,1
50-64,2015,12F,57
50-64,2015,13,5
50-64,2015,14,1
50-64,2015,15A,32
50-64,2015,15B,8
50-64,2015,15C,5
50-64,2015,16F,30
50-64,2015,17F,13
50-64,2015,18C,1
50-64,2015,19A,40
50-64,2015,19F,20
50-64,2015,20,33
50-64,2015,21,2
50-64,2015,22F,100
50-64,2015,23A,39
50-64,2015,23B,24
50-64,2015,23F,1
50-64,2015,24F,1
50-64,2015,3,99
50-64,2015,31,20
50-64,2015,33F,30
50-64,2015,34,7
50-64,2015,35B,27
50-64,2015,35D,2
50-64,2015,35F,9
50-64,2015,38,8
50-64,2015,4,17
50-64,2015,6A,1
50-64,2015,6B,2
50-64,2015,6C,25
50-64,2015,7C,17
50-64,2015,7F,17
50-64,2015,8,42
50-64,2015,9N,44
50-64,2015,9V,2
50-64,2015,MISS,92
50-64,2015,NT,1
65+,2015,10A,13
65+,2015,11A,41
65+,2015,12F,33
65+,2015,14,1
65+,2015,15A,53
65+,2015,15B,25
65+,2015,15C,9
65+,2015,16F,48
65+,2015,17F,17
65+,2015,19A,31
65+,2015,19F,24
65+,2015,20,25
65+,2015,21,3
65+,2015,22F,114
65+,2015,23A,70
65+,2015,23B,31
65+,2015,23F,1
65+,2015,24F,3
65+,2015,28A,3
65+,2015,3,150
65+,2015,31,28
65+,2015,33F,37
65+,2015,34,18
65+,2015,35B,74
65+,2015,35D,2
65+,2015,35F,9
65+,2015,37,1
65+,2015,38,9
65+,2015,4,4
65+,2015,6A,1
65+,2015,6B,3
65+,2015,6C,56
65+,2015,7C,25
65+,2015,7F,12
65+,2015,8,25
65+,2015,9N,32
65+,2015,9V,2
65+,2015,MISS,125
<2,2016,10A,3
<2,2016,10F,1
<2,2016,11A,2
<2,2016,12F,3
<2,2016,15A,5
<2,2016,15B,3
<2,2016,15C,8
<2,2016,17F,1
<2,2016,19A,7
<2,2016,19F,5
<2,2016,21,5
<2,2016,22F,7
<2,2016,23B,3
<2,2016,28A,1
<2,2016,3,3
<2,2016,33F,11
<2,2016,34,1
<2,2016,35B,11
<2,2016,35D,1
<2,2016,35F,1
<2,2016,38,2
<2,2016,6B,1
<2,2016,7C,1
<2,2016,9N,3
<2,2016,MISS,20
<2,2016,NT,1
2-4,2016,10A,1
2-4,2016,11A,1
2-4,2016,12F,2
2-4,2016,15A,6
2-4,2016,15B,5
2-4,2016,15C,3
2-4,2016,15F,1
2-4,2016,16F,3
2-4,2016,19A,1
2-4,2016,19F,6
2-4,2016,22F,3
2-4,2016,23A,1
2-4,2016,23B,7
2-4,2016,23F,1
2-4,2016,3,6
2-4,2016,33F,2
2-4,2016,34,1
2-4,2016,35F,1
2-4,2016,38,3
2-4,2016,7C,1
2-4,2016,MISS,12
5-17,2016,10A,1
5-17,2016,11A,2
5-17,2016,12F,1
5-17,2016,15A,3
5-17,2016,15B,3
5-17,2016,15C,3
5-17,2016,16F,1
5-17,2016,18C,1
5-17,2016,19A,7
5-17,2016,19F,6
5-17,2016,20,2
5-17,2016,21,1
5-17,2016,22F,5
5-17,2016,23A,2
5-17,2016,23B,6
5-17,2016,3,7
5-17,2016,33F,3
5-17,2016,35F,2
5-17,2016,6B,1
5-17,2016,6C,3
5-17,2016,7C,1
5-17,2016,7F,4
5-17,2016,8,2
5-17,2016,9N,2
5-17,2016,9V,1
5-17,2016,MISS,7
18-49,2016,1,1
18-49,2016,10A,9
18-49,2016,11A,13
18-49,2016,12F,37
18-49,2016,13,3
18-49,2016,15A,16
18-49,2016,15B,6
18-49,2016,15C,7
18-49,2016,16F,16
18-49,2016,17F,10
18-49,2016,18A,1
18-49,2016,18C,2
18-49,2016,19A,21
18-49,2016,19F,21
18-49,2016,20,19
18-49,2016,21,1
18-49,2016,22F,57
18-49,2016,23A,25
18-49,2016,23B,20
18-49,2016,23F,2
18-49,2016,24F,2
18-49,2016,28A,1
18-49,2016,3,61
18-49,2016,31,14
18-49,2016,33F,25
18-49,2016,34,7
18-49,2016,35B,23
18-49,2016,35D,1
18-49,2016,35F,3
18-49,2016,38,1
18-49,2016,4,19
18-49,2016,6A,1
18-49,2016,6B,1
18-49,2016,6C,12
18-49,2016,7C,8
18-49,2016,7F,17
18-49,2016,8,43
18-49,2016,9N,34
18-49,2016,MISS,48
50-64,2016,10A,18
50-64,2016,10F,2
50-64,2016,11A,29
50-64,2016,12F,39
50-64,2016,14,1
50-64,2016,15A,32
50-64,2016,15B,13
50-64,2016,15C,5
50-64,2016,16F,37
50-64,2016,17F,8
50-64,2016,19A,38
50-64,2016,19F,36
50-64,2016,20,43
50-64,2016,21,1
50-64,2016,22F,95
50-64,2016,23A,43
50-64,2016,23B,39
50-64,2016,23F,1
50-64,2016,28A,4
50-64,2016,3,121
50-64,2016,31,16
50-64,2016,33F,31
50-64,2016,34,10
50-64,2016,35A,1
50-64,2016,35B,36
50-64,2016,35D,3
50-64,2016,35F,18
50-64,2016,37,1
50-64,2016,38,10
50-64,2016,4,15
50-64,2016,6A,2
50-64,2016,6B,1
50-64,2016,6C,25
50-64,2016,7B,1
50-64,2016,7C,11
50-64,2016,7F,12
50-64,2016,8,47
50-64,2016,9N,72
50-64,2016,9V,1
50-64,2016,MISS,87
65+,2016,10A,13
65+,2016,11A,40
65+,2016,12F,24
65+,2016,13,4
65+,2016,14,3
65+,2016,15A,60
65+,2016,15B,23
65+,2016,15C,12
65+,2016,16F,39
65+,2016,17F,16
65+,2016,19A,40
65+,2016,19F,17
65+,2016,20,25
65+,2016,22F,131
65+,2016,23A,59
65+,2016,23B,32
65+,2016,23F,1
65+,2016,24F,4
65+,2016,28A,3
65+,2016,3,162
65+,2016,31,22
65+,2016,33F,54
65+,2016,34,16
65+,2016,35B,54
65+,2016,35D,2
65+,2016,35F,17
65+,2016,37,2
65+,2016,38,18
65+,2016,4,7
65+,2016,6A,1
65+,2016,6B,2
65+,2016,6C,37
65+,2016,6D,1
65+,2016,7C,27
65+,2016,7F,6
65+,2016,8,29
65+,2016,9N,42
65+,2016,9V,1
65+,2016,MISS,121
<2,2017,10A,4
<2,2017,10F,1
<2,2017,11A,1
<2,2017,12F,2
<2,2017,15A,2
<2,2017,15B,1
<2,2017,15C,3
<2,2017,19A,2
<2,2017,19F,5
<2,2017,21,2
<2,2017,22F,5
<2,2017,23A,1
<2,2017,23B,5
<2,2017,24F,1
<2,2017,3,10
<2,2017,31,1
<2,2017,33F,9
<2,2017,34,1
<2,2017,35B,5
<2,2017,38,6
<2,2017,7C,2
<2,2017,9N,2
<2,2017,MISS,11
<2,2017,NT,1
2-4,2017,11A,1
2-4,2017,15A,2
2-4,2017,15B,4
2-4,2017,15C,5
2-4,2017,16F,2
2-4,2017,18C,1
2-4,2017,19A,8
2-4,2017,19F,4
2-4,2017,20,2
2-4,2017,21,1
2-4,2017,22F,5
2-4,2017,23B,8
2-4,2017,24B,1
2-4,2017,3,2
2-4,2017,31,1
2-4,2017,33F,1
2-4,2017,34,3
2-4,2017,35B,1
2-4,2017,38,2
2-4,2017,7C,1
2-4,2017,9N,1
2-4,2017,MISS,10
5-17,2017,10A,2
5-17,2017,11A,2
5-17,2017,12F,4
5-17,2017,15A,3
5-17,2017,15B,1
5-17,2017,15C,2
5-17,2017,16F,3
5-17,2017,17F,1
5-17,2017,19A,10
5-17,2017,19F,11
5-17,2017,20,1
5-17,2017,21,4
5-17,2017,22F,7
5-17,2017,23A,5
5-17,2017,23B,5
5-17,2017,3,8
5-17,2017,35B,5
5-17,2017,38,2
5-17,2017,6C,1
5-17,2017,7C,3
5-17,2017,7F,1
5-17,2017,8,2
5-17,2017,9N,1
5-17,2017,MISS,2
18-49,2017,10A,13
18-49,2017,11A,26
18-49,2017,12F,30
18-49,2017,13,1
18-49,2017,15A,10
18-49,2017,15B,11
18-49,2017,15C,6
18-49,2017,16F,12
18-49,2017,17F,6
18-49,2017,19A,15
18-49,2017,19F,14
18-49,2017,20,25
18-49,2017,21,1
18-49,2017,22F,54
18-49,2017,23A,25
18-49,2017,23B,19
18-49,2017,3,62
18-49,2017,31,7
18-49,2017,33F,20
18-49,2017,34,4
18-49,2017,35B,14
18-49,2017,35F,6
18-49,2017,38,6
18-49,2017,4,28
18-49,2017,6C,15
18-49,2017,7C,12
18-49,2017,7F,17
